Scouter Name,Team #,Alliance,Match Number,Quaification Match,Quarterfinal Match,Semifinal Match,Final Match,Starting Level,Hatches Level 1,Hatches Level 2,Hatches Level 3,Cargo Level 1,Cargo Level 2,Cargo Level 3,Endgame Level 1,Endgame Level 2,Endgame Level 3,Robot Disabled,Robot Carry Level 1,Robot Carry Level 2,Robot Carry Level 3
hailey,2637,Red,43,No,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
ethan,4013,Blue,43,No,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
sarah c,7787,Red,44,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
skyler,7607,Blue,44,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,7121,Blue,44,Yes,No,No,No,2,0,0,0,8,0,0,1,0,0,0,0,0,0
Jon,5013,Red,44,Yes,No,No,No,1,1,0,0,3,0,0,0,0,1,0,0,0,0
hailey,7635,Red,44,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
ethan,3616,Blue,44,Yes,No,No,No,1,4,0,0,1,0,0,1,0,0,0,0,0,0
sarah c,2438,Red,45,Yes,No,No,No,2,3,0,0,0,0,0,0,1,0,0,0,0,0
Courtney,1477,Blue,45,Yes,No,No,No,2,3,0,0,1,0,0,1,0,0,0,0,0,0
skyler,4550,Blue,45,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,3663,Red,45,Yes,No,No,No,2,1,0,0,4,0,0,1,0,0,0,0,0,0
ethan,744,Blue,45,Yes,No,No,No,1,1,0,0,6,0,0,0,0,1,0,0,0,0
sarah c,1671,Red,46,Yes,No,No,No,2,1,0,0,3,1,0,0,0,1,0,0,0,0
Courtney,2714,Blue,46,Yes,No,No,No,2,1,0,2,5,0,2,1,0,0,0,0,0,0
Jon,1311,Red,46,Yes,No,No,No,0,3,2,0,0,0,0,1,0,0,0,0,0,0
skyler,2976,Blue,46,Yes,No,No,No,1,2,2,2,2,2,1,1,0,0,0,0,0,0
ethan,4087,Blue,46,Yes,No,No,No,2,1,0,0,0,0,0,0,0,1,0,0,0,0
Courtney,7443,Blue,47,Yes,No,No,No,2,3,0,0,0,0,0,0,1,0,0,0,0,0
ethan,3834,Blue,47,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sarah c,6885,Red,47,Yes,No,No,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,7433,Red,47,Yes,No,No,No,1,0,0,0,4,0,0,1,0,0,0,0,0,0
skyler,6988,Blue,47,Yes,No,No,No,1,0,0,0,3,0,0,1,0,0,0,0,0,0
Courtney,7447,Blue,48,Yes,No,No,No,2,1,0,0,2,0,0,1,0,0,0,0,0,0
sarah c,6413,Red,48,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Jon,4013,Red,48,Yes,No,No,No,2,2,0,0,2,0,0,1,0,0,0,0,0,0
skyler,4183,Blue,48,Yes,No,No,No,1,1,0,0,4,0,0,0,0,1,0,0,0,0
hailey,4020,Red,48,Yes,No,No,No,2,4,0,0,4,0,0,0,0,0,0,0,0,0
ethan,5700,Blue,48,Yes,No,No,No,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Jon,6704,Red,49,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,3735,Blue,49,Yes,No,No,No,2,3,1,0,1,0,0,1,0,0,0,0,0,0
hailey,7787,Red,49,Yes,No,No,No,1,0,0,0,3,0,0,0,0,0,1,0,0,0
ethan,7461,Blue,49,Yes,No,No,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sarah c,2046,Red,49,Yes,No,No,No,2,6,0,0,0,0,0,0,0,0,0,0,0,0
skyler,3635,Blue,49,Yes,No,No,No,1,1,0,0,6,0,0,0,0,0,0,0,0,0
Hailey,2441,Red,47,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Hailey,2710,Red,46,Yes,No,No,No,4,0,0,0,5,0,0,0,1,0,0,0,0,0
Hailey,4192,Red,45,Yes,No,No,No,1,1,0,0,0,0,0,1,1,0,0,0,0,0
